Source_File,QR_Index,Link,Position_Y,Position_X
S__83165253_0.jpg,1,https://chulabhornchannel.cra.ac.th/health-articles/23771/,607,538
S__83165254_0.jpg,1,https://youtube.com/playlist?list=PLVGq9IQHt11YfUPZPPnnnvq4KgaWRY3ZF&si=MS6MoIyjYTQzAGTG,104,525
S__83165254_0.jpg,2,https://youtube.com/playlist?list=PLVGq9IQHt11Zvao7gpzcZkFKVhLFSNgaT&si=6iUzwzqeLeh9v6j0,110,800
S__83165254_0.jpg,3,https://drive.google.com/file/d/1JdzU-8qLQNBqfkcLclKQp5OOHJpjqp8F/view?usp=drive_link,118,275
S__83165254_0.jpg,4,https://youtube.com/playlist?list=PLVGq9IQHt11bLanp3R3L8xys9iCyCzH2K&si=elzFhpAHBPe4DRiU,126,22
S__83165254_0.jpg,5,https://youtube.com/playlist?list=PLVGq9IQHt11YeP8lyyTyCo6seXqn6CUpV&si=WvRwyc6UE6tOggoO,559,802
S__83165254_0.jpg,6,https://youtube.com/playlist?list=PLVGq9IQHt11YayUXVvKil01jSxjv6a5Ok&si=bEhMsbfCv5fn5Sjc,562,539
S__83165254_0.jpg,7,https://youtube.com/playlist?list=PLVGq9IQHt11afju0DMzu5F5QjzOLB5Dp4&si=Q18x1N_3hPCA0r_8,565,22
S__83165254_0.jpg,8,https://youtube.com/playlist?list=PLVGq9IQHt11b78qVtVgcbz7L6CAekUDww&si=QQqvVpgMT7AyCLXb,565,280
S__83165254_0.jpg,9,https://youtube.com/playlist?list=PLVGq9IQHt11afzRK0rwB4AmDQBxFcTRys&si=tIhiedllv-tQ7Lcu,852,269
S__83165254_0.jpg,10,https://youtube.com/playlist?list=PLVGq9IQHt11YLl4U_IpwPKqcL3LT_tjW-&si=Ka8yzDUThkLanPnQ,863,22
S__83165254_0.jpg,11,https://youtube.com/playlist?list=PLVGq9IQHt11Y9yoKfhS4dSUpN1e1ZZt74&si=445_8vwMvqhpqg83,863,539
S__83165254_0.jpg,12,https://youtube.com/playlist?list=PLVGq9IQHt11Zd7NBo3Ay9Vi74D5cNXBFj&si=FTLMfwKKRlSXXIuq,863,801
S__83165254_0.jpg,13,https://youtube.com/playlist?list=PLVGq9IQHt11aGhVsJJmEkuCUd6DkqTBdl&si=-stsylHTcYMxkkNB,1222,10
S__83165254_0.jpg,14,https://youtube.com/playlist?list=PLVGq9IQHt11YzYKDnNuS7qYK-niNN59YU&si=n_iFbL7jdR6LCroy,1236,279
S__83165254_0.jpg,15,https://youtube.com/playlist?list=PLVGq9IQHt11b27XwxpuTQntsIZo_jRVnz&si=r5u6OzBBh-k9ubKT,1238,800
S__83165255_0.jpg,1,https://q.me-qr.com/phys7yrg,615,403
S__83165256_0.jpg,1,https://youtu.be/Vh_Qo3JPfQ4,206,811
